,0
421,"хорошая школа, в которой свой каток заливают, коньки ей купил."
422,"притянул Алеша трактором ребристые молотильные катки с Евлампиевского хутора, с его"
423,"В древние годы этими катками, вырубленными из дикого камня-песчаника"
424,"молотили хлеб на токах, потом катки приспособили ставить фундаментом, под первый"
425,покрытие перед домом в сплошной каток.
426,отстаивая единоличное право сопровождать на каток и с катка голубоглазую ингерманландку
427,"сухой, поскольку во влажной земле каток и колеса вязнут и могут"
428,"на масленицу, на снегу, на катке."
429,Рядом каток спешно утюжил асфальт.
430,"Каток скрылся, площадка была выровнена, контейнер"
431,"из треков, скажем, солирует дорожный каток, в другом — стук этих самых"
432,"таранили автобусами, бронетранспортерами и даже катками для укладки асфальта."
433,"точь-в-точь как школьницы на городском катке, отводили назад одну ногу и"
434,На катке имени Гунды Ниманн блистала ее
435,"Анни выиграла первенство континента на катке, носящем имя Великой Гунды."
436,для немецкого телевидения репортаж о катке.
437,в грядущий уик-энд на знаменитом катке «Тиалф» в Херенвене) слабому стайеру
438,"бегут здесь не на привычном катке по отдельным дорожкам, а скопом"
439,"До рекорда катка, установленного три года назад знаменитым"
440,конкретным судьбам конкретных людей прокатывается каток истории?
441,"А каток, будь он неладен?"
442,тогда едва коньки на том катке не отбросила!
443,зимой все вместе ходили на каток.
444,"надев свитера с оленями, на каток выходили и млад и стар."
445,Об открытии главных катков страны в парке Горького (с
446,"можно быстро переодеть прямо на катке, не заходя в раздевалку."
447,"наливалась чернотой и неторопливо, как каток, ползла, подминая хрупкую сталь небес."
448,Каток!
449,"голубое смазалось черным, накатила тяжелым катком боль и раздавила меня."
450,"досуг будет еще разнообразнее: открытый каток, гонки на снегоходах, лыжные прогулки"
451,"часть в морозы в ледяной каток, а при потеплении — в месиво"
452,"гуляя даже по совсем тоненькому «катку», нельзя провалиться в воду сразу"
453,"спа, джаз-клубы и дискотеки, санки, катки, прогулки и проч."
454,"с бассейнами, саунами, кортами и катком."
455,"любые, в том числе: открытый каток, большой бассейн, санные трассы, верховые"
456,"покрытие на эстакаде будет словно каток, а уж тем паче заранее"
457,"На таком катке первая же машина, не успевшая"
458,свой сон: будто она на катке наткнулась на электрический столб с
459,Зачем раскатывать катком все — от голливудских блокбастеров до
460,еще там можно сделать хороший каток.
461,"оказывается, была выиграна за пределами катка."
462,Катком по сердцу любителей дешевого ликера
463,В Индонезии катком уничтожили 40 тыс. бутылок с
464,"роликах, лучшим местом отдыха считает каток с правильным льдом, с целлюлитом"
465,"ней в спортивный клуб, на каток, на лыжню или (хотя бы"
466,"И наоборот, меньшего размера «катки» приведут к тому, что спидометр"
467,"округах и г.Зеленограде, крытого катка на Профсоюзной улице, теннисного корта"
468,Тяжким катком проехалась война по мальчишеской судьбе
469,"немолодой женщины, вторым — Henordrich Averkamp «Каток» 1610 г. — довольно большое многолюдное"
470,"временно безработный, попадает под асфальтовый каток."
471,"Водитель катка… сирота Герасим… малорослый, золотушный, немой"
472,колдобинах и обходя предательские ледяные катки.
473,первобытных джунглей в гладкий ледовый каток.
474,Поднимаясь с катка на берег по гранитной лестнице
475,"показать столичный университет, набережную возле катка, остатки бывшего Целинограда, здание компании"
476,быстроту «конкорда» и безжалостность асфальтового катка.
477,"барж, пластиковых садовых тележек и катков для газонов, стал всемирно знаменит"
478,Роликовый каток!
479,мою историю про женщину на катке.
480,Чужих» и прочем голливудском гуталине катком прошлись по насекомым?
481,начала в 1954 году на катке Парка культуры им. Прямикова.
482,"в гражданскую, через поселок проходит каток боев."
483,"Недавно на катке Солт-Лейк-Сити, где в будущем году"
484,Олимпийский каток в Солт-Лейк-Сити расположен на высоте
485,"там, электроды не подвезли, соседи каток сперли, дождь обрушился, помешал укладывать"
486,"башнями, неся впереди кронштейны с катками, похожие на уродливых неповоротливых крабов."
487,"от которых срываются и отлетают катки, встает на дыбы сотрясенная стальная"
488,"солярку сольет из бака, то каток сломался, то мастер пьян."
489,полномасштабную жутко зимнюю сцену на катке…
490,Железный каток событий без разбора подавлял все
491,Умертвив опыт катком извращенной классовости (Сталин даже в
492,что одним из первых под каток этого закона попал поэт Иосиф
493,Чугунный каток.
494,"сквозь земную твердь, укатанную асфальтовым катком."
495,"Опробовать коньки на домашнем катке не дали, видимо решили, что"
496,"по-прежнему заливал и чистил домашний каток, а мама заставляла заниматься."
497,"Но когда выяснилось, что на каток мы больше не поедем, я"
498,"раньше — коммунальная квартира: на одном катке — «Зенит»,  «Спартак»,  «Локомотив»…"
499,"кататься можно сколько влезет, на каток возят на автобусе, а на"
500,"дворе, зимой заливали на ней каток."
501,"Машина, расчищающая лед, наваливала вокруг катка горы снега, благодаря им мы"
502,Степановна подвела меня в углу катка к Ольге.
503,На одном катке с нами тренировалась и Наташа.
504,Своего искусственного катка «Локомотив» не имел.
505,"руководить всей чеченской кампанией,  «под каток» его дотошности, въедливости попал генерал"
506,"В частности, идея фильма «Каток и скрипка»  (дипломная работа Андрея"
507,"новых знакомств, мальчишеских потасовок на катке, прием в пионеры, детская любовь"
508,в углублении посередине был небольшой каток с искусственным льдом и громадной
509,возвращаться из поездки на родной каток.
510,"наконец, глухой прямоугольник нашего крытого катка."
511,"детском парке имени Дзержинского, на катке, чуть побольше, чем две комнаты"
512,те годы там было два катка.
513,К катку примыкала теплушка.
514,Зимой каток на стадионе заливали не только
515,"сидя в будке, подобной караульной, — катки были открытые, холод страшный, — Толмачева"
516,оказалась на том же открытом катке.
517,"Новый каток строили очень долго, и построили"
518,"Каток примыкает к легкоатлетическому манежу, вот"
519,"дощатой оградой место заливали под каток, а летом ребята гоняли здесь"
520,"фильм Тарковского после дипломной работы «Каток и скрипка», также получившей награду"
521,Афанасьев воспевал катание на катке:
522,Упасть означало попасть под многотонный каток из тысяч человеческих ног.
523,уползающий от неумолимо надвигающегося асфальтного катка».)
524,"темно-синее и ровное, как искусственный каток…"
525,Снимали закрытый каток на «Динамо».
526,"моей жены Соня как-то на катке познакомилась с высоким, дюжим молодым"
527,"гладкий и ровный, как ледовый каток."
528,Но каток тоталитаризма прошел и по Сибири
529,"рядом, прислонив спинами к гусеничным каткам."
530,"подставился, чтобы не попасть под каток памятного всем вам большого политического"
531,"застывала гладким ровным слоем, словно каток."
532,чтоб не попасть под этот каток.
533,"пейзажи с гирляндами над пустыми катками, хоть усмехнуться в ответ на"
534,ходили на танцы и на каток.
535,На нас надвигается каток мировой глобализации.
536,взять гребцов или не имеющей катков Армении — хоккеистов?
537,матчи сезона на первом искусственном катке Москвы в Сокольниках.
538,"на Ленинские горы, где находился каток клуба."
539,"Там, у катка, их поджидал являвшийся раньше всех"
540,приезду он успевал сам расчистить каток.
541,"в свою «Волгу», велел завалить каток снегом и укатил в Сокольники."
542,"Совсем давно — на открытый каток местного комбината органических удобрений, где"
543,"Дорога от станции к открытому катку вела по мрачным улицам, покрытым"
544,могла существовать без собственного крытого катка с искусственным льдом.
545,"Воскресенский комбинат, не мог такой каток для нее не построить."
546,"маленькую гостиничку при знаменитом высокогорном катке, и там без пышных клятв"
547,"толстый Макаркин, на ледяных дорожках катка в парке культуры «развлекались диким"
548,"в фонаре, освещающем этот участок катка, и, засев в сугробе, следили"
549,"огромное и тяжелое, как асфальтовый каток: колесом по упрекам, колесом по"
550,"немца ученого выставим за магистра, каток зальем, и вы с ним"
551,"Пашута ему говорит:  «Не дрожи каток, я тебя от этого отвикну!»"
552,"скорей, у нас человека переехало катком!"
553,Директор катка!
554,"Интеллигент попал под каток, ровняющий асфальт."
555,"Водитель катка поднял интеллигента, свернул его в"
556,"в окна, как выходил на каток, под который зимой заливали водой"
557,"себе дорогу на манер асфальтового катка, сделал разворот, сметая импровизированным копьем"
558,Тяжёлый каток истории превращал дома в камни.
559,"пластилиновой фигуркой, попавшей под паровой каток."
560,Железные колеса асфальтового катка неторопливо уминали только что разровненную
561,"Кто не мечтал проехаться на катке по горячему асфальту, у того"
562,"ты, но по мне проехались катком бабка, мать, отчим, а теперь"
563,на весь день уходить на каток…
564,"на фигурных коньках, вот с катка он ее и увел, и"
565,Будто под каток попал.
566,"Надвигается каток, накатывается."
567,"асфальт, еще не утрамбованный стальным катком."
568,"детстве она играла на дворовом катке хоккейным вратарем, и ей запузырили"
569,страхом и укатаны многими стальными катками.
570,И литературный каток давит и мнет: я уже
571,"А потом, с октября 1917-го, катком железным и раскаленным прокатились по"
572,"Бегали на каток в Парк культуры, отмечали дни"
573,"снег, а мостовая в опасный каток, но в его голове, переполненной"
574,в сравнении с которой асфальтовый каток — пушинки.
575,Катки отличные.
576,романы завязывались и рушились на катках…
577,"натянулись — и «Ра» пополз по каткам, подложенным под платформу, а катки"
578,"каткам, подложенным под платформу, а катки двигались по рельсам из деревянных"
579,"все-таки их передвигали, используя деревянные катки."
580,"г. Тайчунг, катаясь на крытом катке, толкнул женщину."
581,надо было еще успевать на катки.
582,"Стадион юных пионеров» — вот три катка, на которых мы встречались в"
583,Катки были местом свиданий и объяснений.
584,На катке можно было обхватить девушку за
585,Такой был кодекс чести на катках.
586,"сапоги и шли на растаявший каток стадиона искать мелочь — монеты, которые"
587,"объяснял, что нужен небольшой дорожный каток."
588,"Маленький каток они не достали, поэтому переделывали"
589,"Надо чуть-чуть укатать, легким катком»."
590,Привезли легкий каток.
591,чудак выпившим садится на этот каток и разворачивается на нем прямо
592,"его обходить, а это оказался каток, который стоял у дороги."
593,"Прямо у катка он бросил машину, пришел в"
594,"Скажу утром, что каток меня переехал», — пошутил он."
595,по насыщению: от ресторана и катка до трех компактно расположенных кортов.
596,"Мы гуляли, ходили на каток, гоняли на велосипедах."
597,"и катали ее по искусственному катку в Комарове, и так далее"
598,кладутся каждым рабочим-отделовщиком под каток (стол) к себе и закрываются
599,чего он кладет ее на каток и платирует (вытягивает и сглаживает
600,"положивши ее на стол или каток лицом кверху, начиная от хребта"
601,"окончательно высушив в сушилке, прокатывают катком и смазывают лицевую сторону одной"
602,"свежей, черной, ядовитой заплате асфальтовый каток."
603,"Мы иногда ходили на каток, и один раз я был"
604,Ездил на каток на Патриаршие пруды (по-московски — на
605,"А может, пойдём… это, на каток…"
606,"Может, на каток пойдём? — сказал Курдюмов."
607,"всю зиму был лед, как каток."
608,"закоулках Доброй слободки, ходили на каток и в кино."
609,Катки начинали работать уже после 7-го
610,"через неделю после больницы на каток, и шов на животе слегка"
611,"и я, пыталась самостоятельно заливать каток в нашем дворе."
612,"втайне ходить в кино, на каток, в парк культуры, ездить купаться"
613,"лопнула батарея, и в квартире каток, поэтому Тетя Варя и поступила"
614,"спросил он, пока тяжелыми ручными катками закатывали изрытое расталище и публика"
615,"приглашал в кино и на каток, а я все бормотала «зачем"
616,"Лед был на катке, на Херсонской."
617,"начинались театры, и цирк, и каток — все, что несли с собой"
618,"именно такой щелью, и тяжелый каток государства, который разъезжал взад-вперед"
619,"катания, но я сбежал с катка на ринг."
620,"количеству детей во дворах, по каткам, горкам, на которых прошло все"
621,"летний кинотеатр, а зимой заливался каток, публика толпилась весьма пестрая."
622,"Направляясь вечерами на каток к Патриаршим прудам, мы не"
623,"театр, с наступлением морозов — на каток стадиона «Динамо»."
624,"можно его залить водой, получится каток."
625,"он выбирался из-под нее на катке, не поднимал ее, а отваливал"
626,Ледяные катки научился заливать через шланги — очень
627,"Неделю забрасывали в лужу асфальт, катки ездили взад-вперед."
628,"покрытие гладкое, как на роликовом катке."
629,Что как катком по ним туда-сюда ездят.
630,С мальчиками они встречались на катке авиационного института.
631,тяжелую греческую телегу на восьми катках взамен четырех колес.
632,"Шесть бульдозеров, один специальный уплотнительный каток."
633,"Мама, давай зальем каток в огороде."
634,"на корточки, Назим ждал, пока каток застынет."
635,"многих, скульптуры передвигали волоком на катках из древесных стволов."
636,"Комплект тренировочный — на тренировочном катке, а в раздевалке на стадионе"
637,В Нью-Джерси было два катка: на стадионе и отдельно тренировочная
638,"дворы — унылое зрелище, энтузиасты повымерли, катков почти не заливают."
639,"а может, даже 400 искусственных катков!"
640,шли по аллее ЦСКА на каток посмотреть тренировки мастеров.
641,Я возвращаюсь на тренировочный каток.
642,"обратно в Нью-Джерси на тренировочный каток, и только тогда до меня"
643,"отдохнуть, он везет ее на каток или поедет что-то с ней"
644,месяцев подряд видели большей частью каток и друг друга.
645,"гостиница или мотель рядом с катком, где и живут дети, а"
646,"как угодно, только не на катке!"
647,Это каток для газона за миллион 50
648,московское правительство подготовило программу строительства катков с искусственным льдом.
649,"что, даже построив все запланированные катки, город не решит проблему приобщения"
650,три школы приходится один искусственный каток и один бассейн.
651,"двадцати лет назад, предложила систему КАТОКС {аббревиатуру можно расшифровать как «каталитическое"
652,работы расстояние между асфальтоукладчиком и катком должно быть на менее 5
653,При работе катка и вибратора
654,"уплотнении грунта самоходных и прицепных катков, а также других машин между"
655,Прицепной одноосный каток на пневматических шинах с балластным
656,Поднимать переднюю часть катка необходимо при помощи подъемного устройства
657,Задний домкрат катка должен быть установлен таким образом
658,"Прицепляя каток, не разрешается находиться рабочим сзади"
659,Уплотнять грунт прицепным катком любого типа движением тягача назад
660,Не разрешается отцеплять одноосный каток на пневматических шинах до его
661,Транспортировать прицепные катки на значительное расстояние необходимо без
662,"Ребята ходят на каток, резвятся и не думают отвечать"
663,"зайдет, и они пойдут на каток Профинтерна."
664,быстро сообразил все это насчет катка.
665,"заручился ее согласием пойти на каток именно с ним, а не"
666,теперь подкладывали активистов ТУДЭ под катки асфальтоукладчиков.
667,"эту картину: папашу, старики, расплющивает каток вместе со всеми его железами"
668,Жизнь каталась по тебе чугунными катками.
669,Асфальтовый каток.
670,расплющивает опытного критика почище асфальтового катка.
671,"улиц, превращаемом оттепелями в ледяной каток, по которому с риском для"
672,Ярко освещенный каток со сменяющими друг друга вальсами
673,"встала перед глазами картина каунасского катка, где в серых гольфах и"
674,"после того как, скользя по катку, я, набравшись опыта, чувствовал себя"
675,"имеющие защитных ограждений, превращаются в каток."
676,"было представить, например, на льду катка."
677,"Каток на Патриарших, или летом в"
678,"прежде, отправиться с друзьями на каток."
679,заменили подводы «медведками» на широких катках вместо колес.
680,Зимой на катке праздновали восьмидесятилетие одной персональной пенсионерки
681,"восприятие Алены и юбилей на катке не кажется ей непристойным, а"
682,укатывала невиданная мной машина — паровой каток.
683,кучами горячего асфальта и тяжелыми катками.
684,"все: шоферы самосвалов и водители катков, дорожные рабочие в оранжевых безрукавках"
685,в передний багажник маленький асфальтовый каток для работающей в Красноярске турецкой
686,"Каток весит 400 кг, да из"
687,"упор сделан на тот злополучный каток, который в забитом, разумеется, до"
688,"Мы с ним ездили на каток в Парк культуры и, отдыхая"
689,Зайдем ко мне после катка.
690,"мороз превращает талую воду в каток, по какому, по-старчески семеня, приходится"
691,"щеки ее зарумянились, как на катке, дедушка посмотрел на нее и"
692,"ходила в Консерваторию или на каток, у меня не было."
693,"неогрунтованное или непрочное основание, прикатка катком недостаточной массы и т. п"
694,ручными трамбовками либо легкими ручными катками до момента появления по поверхности
695,"трамбовкой, загладить и дополнительно уплотнить катком."
696,"вдавливания; 
 после укладки плиты осадить катками весом не более 3 т"
697,"в неподъемный его, памятникообразный задний каток, да расшибиться бы в кашу"
698,"96 с противоминным подпрыгивающим траком-катком спереди, влетел в поселок на"
699,"театр походить, на выставку, на каток…"
700,"по льду ярко освещенных тогда катков, многими видами спорта занимались летом"
701,"Это догорали обрезиненные катки «Фердинандов», стоявших вразброс посреди клеверного"
702,"натыкаясь на заграждения и бездействующие катки, и еще раз убедился, что"
703,"стороне улицы, потом приглашать на каток, потом весьма целомудренно обжиматься в"
704,когда сошел снег и маленький каток посреди двора превратился в футбольное
705,"к садику, служившему попеременно то катком, то футбольным полем."
706,"я ходил на дикий Чистопрудный каток, а по воскресеньям на уютный"
707,а по воскресеньям на уютный каток «Динамо» между Неглинной и Петровкой.
708,"Он связан с катком «Динамо», уже упоминавшимся выше."
709,"норвежские коньки, что определило лицо катка — не грубо спортивное, а романтичное"
710,Центр катка был выделен для фигуристов и
711,лет я провел на этом катке.
712,снежных наметах естественном льду Чистопрудного катка.
713,"человека, по которому проехал асфальтовый каток."
714,"запчасти: бабины высоковольтные, пружины на катки."
715,"в кафе-мороженом и на катке, и в нашем школьном кругу"
716,"вскрыло, как консервную банку, повырывало катки, гусеницы."
717,представил себя конькобежцем на крытом катке.
718,"войн и революций, и он катком проходится по странам и народам"
719,"себе десятка два полых цилиндров-катков, соединенных эластичной цепью."
720,"Катки перемещаются, словно траки гусеницы, и"
721,"На улицах невероятно скользко, каток, политый водой."
722,похожая на огромный занесенный снегом каток.
723,"Элементы ходовой части гусеничных тележек — катки, индивидуальную торсионную подвеску, балансиры, траки"
724,"23,6 %, добавили 5-й опорный каток, на траках для повышения проходимости"
725,посадочных люков или задних колес (катков) машин.
726,из Санкт-Петербургской серии «Девочка на катке».
727,"мерзнущей под огромным деревом, посередине катка, бабушке в валенках и в"
728,она отвернулась к «Девочке на катке».
729,"бывшего спортивного зала — может, даже катка для роллеров — на возвышении, за"
730,"лыжными палками, катался по растаявшему катку… пел арии на итальянском языке"
731,Еще горше поражение на катке — напрочь затупились лезвия?
732,"можно ненароком попасть под такой каток, из-под которого не встать живым."
733,"Кругом — каток, скользят тысячи людей с барахлом."
734,"Вооружившись шестом, веревкой и катком, специалист по кинотрюкам за час"
735,подбашенный лист и применив опорные катки нового тяжелого танка Т-10
736,Опорные катки ИС-7 с внутренней амортизацией
737,"шести опорных и трех поддерживающих катков на борт, направляющих и ведущих"
738,является жесткая связь первых опорных катков с направляющими колесами.
739,"Приподнимаясь на препятствиях, каток смещает колесо вперед, тем самым"
740,часть достаточно традиционна: семь опорных катков на борт с резиновыми шинами
741,"шести обрезиненных опорных, трех поддерживающих катков, ведущего и направляющего колес оснастили"
742,Большие хода катков позволяют «Челленджеру» передвигаться по пересеченной
743,В ходовой части пять опорных катков на борт (что считалось достаточным
744,"лет хожу зимними вечерами на каток, для меня это, по сути"
745,Лужниках возле спорткомплекса «Дружба» залит каток.
746,"которого выходят прямо на этот каток, на всесоюзную «кузницу здоровья»?"
747,"радуга над городом; черный лед катка и стремительные конькобежцы, освещенные ярким"
748,"смысле, что его дипломный фильм «Каток и скрипка» реализовал воспоминания о"
749,Тарковского — впечатление это отразилось в «Катке и скрипке».
750,Каток и скрипка
751,"Между сюжетом короткометражной ленты «Каток и скрипка», при всем его"
752,веселого и шумного красного асфальтового катка вступается за карапуза.
753,и дает «музыканту» поработать на катке.
754,"следить девушка с соседнего — желтого — катка, которая грубовато заигрывает с водителем."
755,музыкант» оставит свой инструмент на катке и солидно отправится с новым
756,"хищно открывает футляр оставленной на катке скрипки, оробеет перед этим чудом"
757,"понимающего, обиженного и разочарованного водителя катка в кино."
758,"Прощай, каток"
759,А расскажи мне про каток?
760,И — каток в том числе.
761,Замечаю: любой на вопрос о катке откликается как на зов.
762,"и бежала туда где был каток, дорожки заливали вокруг чаши стадиона."
763,"один ученый сообщил мне, что каток угадывает какую-то физиологическую потребность человека"
764,нас дошло известие — об искусственных катках.
765,"говорят мне, ты обозначь, что каток был организующим началом социума."
766,Каток уже вот-вот растает.
767,Юбочка плиссированная для катка.
768,"часто в нем застревали, доски катка, сколоченные уголком, сваливались с козлин"
769,часть с шестью однорядными опорными катками на борт заимствовали у ПТ
770,"зацеплением и развитыми грунтозацепами, опорные катки усилили."
771,"блестящим и голым, как свежезалитый каток."
772,"в то время на городской каток в отвратительных старых валенках, к"
773,"Все на катке «Динамо» катались в валенках, лишь"
774,"все несчастные, по всем проехал каток, по каждому СВОЙ."
775,"перекрещенными, как в детстве на катке, когда катались парами, и идти"
776,"попасть на производстве под пресс, каток, высокое напряжение, а в такую"
777,Мы катаемся на катке под бравурные мелодии наших любимых
778,"подложив пых-пых под форштевень вместо катка, с криком «у-уп!» выдергивают байдару"
779,"рядом, а там такой замечательный каток…"
780,"об административно-приказной системе, которая многотонным катком проехалась по нашей жизни, не"
781,"и прошедшая по нам как катком, не сделала наши душе стандартными."
782,"цепочки следов, шедших прямо от катка, поперек склона, а сразу позади"
783,"имея даже следов воздействия рычагов, катков и костылей?"
784,прошелся по этой земле своим катком поздней и с гораздо меньшей
785,"Сиротливо торчали опорные и натяжные катки, ведомая передняя звездочка, а гусеничное"
786,"Сиротливо торчали опорные и натяжные катки, ведомая передняя звездочка, а гусеничное"
787,мусорного слоя стали применять тяжелые катки.
788,Был каток ЦДКА.
789,Тяжелый каток террора не прокатился по нашим
790,не пошла с тобой на каток…
791,"Они посетили каток, кино, цирк и буфет, а"
792,"это — перед целеустремленным напором, беспощадным катком, подминающим все…"
793,"Напор»,  «каток»! — горячился я."
794,наносится слой краски с помощью катка.
795,Специалист с помощью катка наносит на стекло тонкий слой
796,"Скорость подачи бревна по каткам в пилораму регулируется, регулируется и"
797,"как полагается, этот брус на каток пилорамы."
798,"через полчаса спохватились, что ее катки так бы пригодились для ремонта"
799,ее начале три толстых бревна-катка лежали.
800,"ее и разом на два катка поставили, третий каток впереди положили."
801,"на два катка поставили, третий каток впереди положили."
802,"плечами нажимать, толкать, с двух катков на третий переволакивать-перекатывать и"
803,перекатывать и опять с двух катков на третий.
804,"за первой ладьей поволокли по каткам вторую и третью, принялись волочить"
805,следующий день перетаскивали суда по каткам и устроились ночевать на берегу
806,"осадные башни на колесах или катках, которые москвичи подкатили к самым"
807,"Каток возле проруби замело, на ледяном"
808,деревянным скребком разравнивала асфальт перед катком.
809,"Иногда катки катят впереди, так и их"
810,ним по кочкам плохо утрамбованной катком земли.
811,"столько зрителей, если едешь с катком и проверяешь дорогу."
812,Андрей и Руслан собрались на каток.
813,"не собрался, чего одному на катке делать?"
814,"думаю, Руслану, позову его на каток."
815,А каток? — кричит ему вдогонку Андрей.
816,"Андрей и Руслан шли на каток, Андрею казалось, что у него"
817,"будет, Андрей не пошёл на каток, он поплёлся за Мусей домой."
818,"Сегодня ветер, каток никуда не денется, зима только"
819,Пошли сегодня на каток-то?
820,Океан там как каток.
821,Мы ходим все на каток и в кино.
822,оставленный на разрыхленной поверхности тяжелым катком.
823,"того места, где обрывался мазок катка, тянулась цепочка следов к ближайшему"
